"","rhoT","mort","EE_bTB_single","EE_bTB_co","EE_brucellosis_single","EE_brucellosis_co"
"32",2.48,0,0.658551113771642,0.909124591299166,0.210718552610404,0.774109761514547
"33",2.56,0,0.658551113771642,0.909330915262592,0.210718552610404,0.774233763088883
"34",2.64,0,0.658551113771642,0.909525728866645,0.210718552610404,0.774351631919878
"35",2.72,0,0.658551113771642,0.909709977190991,0.210718552610404,0.774463824670381
"36",2.8,0,0.658551113771642,0.909884504111485,0.210718552610404,0.774570752803124
"37",2.88,0,0.658551113771642,0.910050065526239,0.210718552610404,0.774672788165957
"38",2.96,0,0.658551113771642,0.910207340558781,0.210718552610404,0.774770267654363
"39",3.04,0,0.658551113771642,0.910356941089333,0.210718552610404,0.774863497314045
"40",3.12,0,0.658551113771642,0.910499419898971,0.210718552610404,0.774952755843565
"41",3.2,0,0.658551113771642,0.91063527765666,0.210718552610404,0.775038297613716
"42",3.28,0,0.658551113771642,0.910764968936442,0.210718552610404,0.775120355309838
"43",3.36,0,0.658551113771642,0.910888907418518,0.210718552610404,0.775199142225088
"44",3.44,0,0.658551113771642,0.911007470400603,0.210718552610404,0.775274854262785
"45",3.52,0,0.658551113771642,0.911121002723834,0.210718552610404,0.775347671709565
"46",3.6,0,0.658551113771642,0.911229820200422,0.210718552610404,0.775417760768826
"47",3.68,0,0.658551113771642,0.911334212614906,0.210718552610404,0.775485274942976
"48",3.76,0,0.658551113771642,0.911434446360183,0.210718552610404,0.775550356225778
"49",3.84,0,0.658551113771642,0.911530766758709,0.210718552610404,0.775613136185443
"50",3.92,0,0.658551113771642,0.911623400112327,0.210718552610404,0.775673736908484
"51",4,0,0.658551113771642,0.911712555516677,0.210718552610404,0.77573227186118
"52",4.08,0,0.658551113771642,0.91179842647157,0.210718552610404,0.775788846639988
"53",4.16,0,0.658551113771642,0.911881192313364,0.210718552610404,0.775843559652546
"54",4.24,0,0.658551113771642,0.911961019491998,0.210718552610404,0.775896502726689
"55",4.32,0,0.658551113771642,0.912038062711967,0.210718552610404,0.775947761661257
"56",4.4,0,0.658551113771642,0.912112465954063,0.210718552610404,0.775997416710059
"57",4.48,0,0.658551113771642,0.912184363391765,0.210718552610404,0.776045543041427
"58",4.56,0,0.658551113771642,0.912253880215303,0.210718552610404,0.776092211130154
"59",4.64,0,0.658551113771642,0.912321133373598,0.210718552610404,0.77613748712981
"60",4.72,0,0.658551113771642,0.912386232243886,0.210718552610404,0.776181433195892
"61",4.8,0,0.658551113771642,0.912449279236864,0.210718552610404,0.776224107785944
"62",4.88,0,0.658551113771642,0.912510370344464,0.210718552610404,0.776265565940153
"63",4.96,0,0.658551113771642,0.912569595636631,0.210718552610404,0.77630585953495
"64",5.04,0,0.658551113771642,0.912627039712844,0.210718552610404,0.776345037495265
"65",5.12,0,0.658551113771642,0.912682782112457,0.210718552610404,0.776383146015628
"66",5.2,0,0.658551113771642,0.912736897689037,0.210718552610404,0.776420228731525
"67",5.28,0,0.658551113771642,0.912789456950899,0.210718552610404,0.776456326937044
"68",5.36,0,0.658551113771642,0.912840526373877,0.210718552610404,0.776491479685856
"69",5.44,0,0.658551113771642,0.912890168685665,0.210718552610404,0.776525723992651
"70",5.52,0,0.658551113771642,0.912938443127604,0.210718552610404,0.776559094940372
"71",5.6,0,0.658551113771642,0.912985405694596,0.210718552610404,0.776591625793752
"72",5.68,0,0.658551113771642,0.913031109354438,0.210718552610404,0.776623348159245
"73",5.76,0,0.658551113771642,0.913075604251102,0.210718552610404,0.776654292044118
"74",5.84,0,0.658551113771642,0.913118937890659,0.210718552610404,0.776684485978278
"75",5.92,0,0.658551113771642,0.913161155312974,0.210718552610404,0.77671395710818
"76",6,0,0.658551113771642,0.913202299250462,0.210718552610404,0.776742731266228
"77",6.08,0,0.658551113771642,0.91324241027419,0.210718552610404,0.776770833063146
"78",6.16,0,0.658551113771642,0.913281526929352,0.210718552610404,0.776798285953876
"79",6.24,0,0.658551113771642,0.913319685860586,0.210718552610404,0.776825112303315
"80",6.32,0,0.658551113771642,0.913356921927915,0.210718552610404,0.776851333455113
"81",6.4,0,0.658551113771642,0.91339326831443,0.210718552610404,0.776876969788187
"82",6.48,0,0.658551113771642,0.913428756626377,0.210718552610404,0.776902040763999
"83",6.56,0,0.658551113771642,0.913463416985715,0.210718552610404,0.776926564990623
"84",6.64,0,0.658551113771642,0.913497278116706,0.210718552610404,0.776950560258991
"85",6.72,0,0.658551113771642,0.913530367426187,0.210718552610404,0.776974043591921
"86",6.8,0,0.658551113771642,0.913562711078469,0.210718552610404,0.776997031284696
"87",6.88,0,0.658551113771642,0.913594334065111,0.210718552610404,0.777019538945486
"88",6.96,0,0.658551113771642,0.913625260270273,0.210718552610404,0.777041581523003
"89",7.04,0,0.658551113771642,0.913655512531093,0.210718552610404,0.77706317336042
"90",7.12,0,0.658551113771642,0.913685112695224,0.210718552610404,0.777084328198941
"91",7.2,0,0.658551113771642,0.91371408167339,0.210718552610404,0.777105059234324
"92",7.28,0,0.658551113771642,0.913742439489493,0.210718552610404,0.777125379131744
"93",7.36,0,0.658551113771642,0.91377020532727,0.210718552610404,0.777145300051471
"94",7.44,0,0.658551113771642,0.913797397573893,0.210718552610404,0.777164833678716
"95",7.52,0,0.658551113771642,0.913824033861259,0.210718552610404,0.777183991236038
