"","rhoB","mort","bTBprev","brucprev","finalN","bTB_inS","bTB_inB","bruc_inS","bruc_inTB"
"61",4.8,0,0.922628990935004,0.870702219905322,637.544566631144,0.466022681878997,0.990434241442561,0.107649199767362,0.934691301885432
"62",4.88,0,0.92289621669106,0.871902436558146,638.102287603337,0.462861909690207,0.99048322110304,0.107617322423696,0.935754983313355
"63",4.96,0,0.923154426038999,0.873060872246711,638.642792140388,0.459756133199208,0.990530455552349,0.107585750344458,0.936780845239574
"64",5.04,0,0.92340407619411,0.874179658300473,639.166878089867,0.45670400778466,0.990576037381848,0.107554501754562,0.937770846158871
"65",5.12,0,0.923645594656544,0.875260787864562,639.675296239238,0.453704217798989,0.990620052911522,0.107523591361357,0.938726815784992
"66",5.2,0,0.923879381335804,0.876306126492355,640.168753371205,0.450755476480811,0.990662582629658,0.107493031334172,0.939650465182933
"67",5.28,0,0.924105810844892,0.877317421998464,640.647915511349,0.447856526790296,0.990703701726975,0.107462831157613,0.940543395965433
"68",5.36,0,0.924325234509215,0.878296313547268,641.113411104279,0.445006141569691,0.99074348049082,0.10743299841717,0.9414071087739
"69",5.44,0,0.924537981880999,0.879244339363252,641.565832823059,0.442203123324768,0.990781984697407,0.107403538587947,0.942243010737022
"70",5.52,0,0.924744362640342,0.880162944561714,642.005740755343,0.439446304611329,0.990819275977071,0.107374455558882,0.94305242259872
"71",5.6,0,0.924944667764351,0.881053487589936,642.433663928957,0.436734547298345,0.990855412084287,0.107345751936923,0.943836584975739
"72",5.68,0,0.925139171173107,0.881917246706297,642.85010287599,0.434066743053195,0.990890447265721,0.107317428781333,0.944596664231656
"73",5.76,0,0.925328130608505,0.882755425384444,643.25553091602,0.431441812162468,0.990924432426113,0.107289486383268,0.945333757761056
"74",5.84,0,0.925511789249753,0.883569158044395,643.650396910027,0.428858704199054,0.990957415464556,0.107261924055562,0.946048899009312
"75",5.92,0,0.925690376155686,0.884359514125812,644.035125391409,0.426316396534681,0.990989441427103,0.107234740122277,0.946743061717742
"76",6,0,0.92586410774138,0.885127503182343,644.410119417583,0.423813894764757,0.99102055275649,0.107207932304636,0.947417164278667
"77",6.08,0,0.926033188313135,0.8858740785336,644.775761105501,0.421350231589755,0.991050789437422,0.107181497754546,0.948072073390958
"78",6.16,0,0.926197811075245,0.886600141255392,645.132413403982,0.418924466652318,0.991080189191057,0.10715543317073,0.948708607626828
"79",6.24,0,0.926358158593022,0.887306543248418,645.48042047207,0.416535685560058,0.991108787620718,0.107129734547908,0.949327540508254
"80",6.32,0,0.92651440394629,0.887994091099906,645.820110169273,0.414182999987432,0.991136618365977,0.107104397879864,0.949929603720171
"81",6.4,0,0.926666710898571,0.88866354837883,646.151793716639,0.411865546407613,0.991163713222376,0.107079418617587,0.950515489611607
"82",6.48,0,0.926815234708846,0.88931563869117,646.475767325614,0.409582485819256,0.991190102267805,0.107054792036859,0.951085853848282
"83",6.56,0,0.926960122641157,0.889951048154439,646.792312975165,0.407333003110014,0.991215813977796,0.107030513198107,0.951641317733671
"84",6.64,0,0.927101514370862,0.890570427600328,647.101698938318,0.405116306320807,0.991240875330538,0.107006576816585,0.95218247032753
"85",6.72,0,0.927239542723741,0.891174395151363,647.404181419645,0.402931626406941,0.991265311900394,0.106982977779362,0.952709870604122
"86",6.8,0,0.927374333749453,0.891763537745291,647.700004222918,0.400778216089675,0.991289147935138,0.106959710735585,0.953224049146459
"87",6.88,0,0.927506007491483,0.89233841343336,647.989400329572,0.398655349959737,0.991312406487138,0.106936770118031,0.953725509998556
"88",6.96,0,0.927634677440936,0.892899552175662,648.27259049521,0.396562321940384,0.991335109323385,0.106914150745137,0.95421473204598
"89",7.04,0,0.927760452766683,0.893447459427605,648.549788062959,0.394498448634656,0.991357277326906,0.106891846786824,0.954692170992481
"90",7.12,0,0.927883436643912,0.89398261555507,648.82119501085,0.392463064601947,0.991378930219227,0.106869852816513,0.955158260232737
"91",7.2,0,0.928003727517354,0.894505478260256,649.087004657339,0.390455523773226,0.991400086784308,0.106848163366426,0.955613412403748
"92",7.28,0,0.928121419367516,0.89501648387699,649.34740211426,0.388475198862226,0.991420764923396,0.106826772941954,0.956058020586428
"93",7.36,0,0.928236601760608,0.895516048354086,649.602564212943,0.386521480410597,0.991440981681018,0.106805676024943,0.956492459365718
"94",7.44,0,0.928349360204161,0.896004568552035,649.852660270065,0.384593776414562,0.991460753296523,0.106784867240683,0.956917085932349
"95",7.52,0,0.928459776308144,0.896482423200381,650.097852235903,0.382691511732473,0.991480095257976,0.106764341155333,0.957332241021952
"96",7.6,0,0.928567928065491,0.896949974021264,650.338295354175,0.380814127611667,0.991499022331156,0.106744092572531,0.957738249882044
"97",7.68,0,0.928673890023405,0.897407566563071,650.574138276878,0.378961081256379,0.991517548628655,0.106724116121656,0.958135423078384
"98",7.76,0,0.928777733444507,0.897855531121878,650.805523513373,0.377131845153686,0.991535687608757,0.106704406713866,0.958524057335671
"99",7.84,0,0.928879526529253,0.898294183556892,651.032587720299,0.375325906791837,0.99155345214403,0.106684959194955,0.958904436267267
"100",7.92,0,0.928979334536112,0.898723826052083,651.255461988686,0.373542768035693,0.991570854528451,0.106665768604942,0.95927683109177
"101",8,0,0.929077219929013,0.899144747789044,651.474272001476,0.371781944737931,0.991587906527116,0.106646829925222,0.95964150126629
